init
0 1 [3042.75, 3257.75, 3034.0, 3251.75]
1 0 [3311.25, 3435.25, 3315.75, 3438.0]
1 1 [5001.75, 5021.75, 5009.75, 5028.0]
0 0 [4054.0, 3941.0, 4052.75, 3940.25]
0 1 [3043.75, 3258.5, 3035.25, 3252.75]
1 0 [3308.5, 3432.25, 3312.75, 3435.0]
1 1 [4998.0, 5018.25, 5006.25, 5024.5]
0 0 [4050.5, 3937.5, 4049.25, 3937.0]
0 1 [3042.25, 3257.0, 3033.5, 3251.0]
1 0 [3308.25, 3432.0, 3312.5, 3435.0]
1 1 [5001.0, 5021.0, 5009.25, 5027.25]
